epoch,mse,output_mse,spin_score_mse,accuracy,all_correct,min_margin,mean_margin,scores,spin_scores,predictions,outputs
2925,0.7216796875,0.7170728477131232,0.715446153728274,0.75,false,-0.0625,0.171875,0.0625|0.0625|0.4375|-0.25,0.0715|0.0904|0.4246|-0.2548,1.0|1.0|1.0|-1.0,0.0622|0.0874|0.061|0.0754|0.1088|-0.002|0.1736|0.0813|0.3771|0.4215|0.4459|0.4538|-0.2004|-0.2525|-0.2556|-0.3108
2950,0.9189453125,0.8995773322645966,0.8984766250379259,0.75,false,-0.125,0.046875,-0.125|0.0625|-0.125|-0.125,-0.1541|0.0183|-0.0861|-0.1426,-1.0|1.0|-1.0|-1.0,-0.1247|-0.1541|-0.14|-0.1976|0.0819|0.019|-0.0423|0.0148|-0.1257|-0.1131|-0.055|-0.0506|-0.1062|-0.1634|-0.1666|-0.1342
2975,0.9287109375,0.9896596053659316,0.9884056055973991,0.75,false,-0.1875,0.046875,-0.0625|0.125|0.1875|0.1875,-0.0481|0.0731|0.1714|0.2255,-1.0|1.0|1.0|1.0,-0.0619|-0.0608|-0.0472|-0.0227|0.0926|0.086|0.065|0.0487|0.1013|0.1173|0.2184|0.2488|0.2119|0.2204|0.2081|0.2617
3000,0.802734375,0.8100393676806068,0.8088977196544717,0.75,false,-0.1875,0.125,-0.3125|-0.1875|0.25|-0.125,-0.2411|-0.1748|0.2692|-0.1366,-1.0|-1.0|1.0|-1.0,-0.2987|-0.246|-0.1984|-0.2213|-0.1995|-0.1836|-0.1222|-0.1938|0.2652|0.2535|0.2664|0.2917|-0.0768|-0.1185|-0.1998|-0.1512
3025,0.896484375,0.885987142524613,0.884646623101915,0.75,false,-0.125,0.0625,-0.25|0.0625|-0.125|-0.0625,-0.2386|0.056|-0.0968|-0.0701,-1.0|1.0|-1.0|-1.0,-0.2634|-0.2116|-0.2284|-0.251|0.0236|0.0938|0.0456|0.0609|-0.1709|-0.1141|-0.0821|-0.0201|-0.0456|-0.0252|-0.0918|-0.1177
3050,0.6572265625,0.6782402489463241,0.6768898541962803,1.0,true,0.0,0.203125,-0.375|0.3125|0.0|-0.125,-0.372|0.3041|-0.0149|-0.1062,-1.0|1.0|1.0|-1.0,-0.3728|-0.3706|-0.361|-0.3838|0.3689|0.2704|0.2883|0.2888|-0.1103|-0.0201|0.02|0.0507|-0.1123|-0.1235|-0.0831|-0.1058
3075,0.904296875,0.9026568276265129,0.9019286921371584,0.75,false,-0.1875,0.0625,-0.125|-0.1875|0.0625|-0.25,-0.1015|-0.1561|0.0348|-0.2704,-1.0|-1.0|1.0|-1.0,-0.1076|-0.0569|-0.098|-0.1436|-0.1118|-0.164|-0.1588|-0.1898|0.027|0.0064|0.0681|0.0377|-0.2493|-0.2693|-0.3131|-0.2498
3100,0.9228515625,0.8665297421182045,0.8658583056302787,0.75,false,-0.125,0.046875,-0.1875|-0.125|0.0|-0.125,-0.195|-0.0797|0.0349|-0.1525,-1.0|-1.0|1.0|-1.0,-0.2268|-0.1813|-0.1822|-0.1895|-0.0765|-0.1083|-0.0601|-0.0737|0.0188|0.0147|0.0746|0.0317|-0.2001|-0.1761|-0.1014|-0.1322
3125,0.615234375,0.6062905062918769,0.6051485463200006,1.0,true,0.125,0.21875,-0.25|0.3125|0.125|-0.1875,-0.2416|0.295|0.1515|-0.2072,-1.0|1.0|1.0|-1.0,-0.1945|-0.2085|-0.2611|-0.3022|0.3173|0.2835|0.2983|0.281|0.1026|0.1135|0.2249|0.165|-0.2163|-0.2203|-0.2051|-0.1873
3150,0.8056640625,0.8314503202362312,0.8298370607463996,0.75,false,-0.0,0.109375,-0.1875|0.25|0.0|0.0,-0.1662|0.1907|0.021|0.0054,-1.0|1.0|1.0|1.0,-0.0826|-0.1605|-0.2273|-0.1942|0.2372|0.2386|0.1815|0.1056|-0.0129|0.0161|0.0341|0.0468|0.0013|0.018|-0.0109|0.0131
3175,0.62890625,0.6741178711615188,0.6727519857378479,1.0,true,0.0625,0.21875,-0.0625|0.4375|0.1875|-0.1875,-0.018|0.4162|0.1677|-0.1674,-1.0|1.0|1.0|-1.0,-0.0249|-0.0451|0.0406|-0.0427|0.4283|0.3909|0.3784|0.4671|0.1464|0.148|0.1856|0.1908|-0.1735|-0.0876|-0.1778|-0.2308
