snapshot,sweep,output,hidden_norm,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,s33,s34,s35,s36,s37,s38,s39,s40,s41,s42,s43,s44,s45,s46,s47,s48,s49,s50,s51,s52,s53,s54,s55,s56,s57,s58,s59,s60,s61,s62,s63,s64,s65,s66,s67
10,100,-0.5682324308602964,6.19599968119611,-1.0,-1.0,0.8507062449894054,-0.7064679370721247,-0.4804594721927424,0.8787336093831072,-0.7133388601457802,0.9573836617748164,0.8929716204468553,0.9015603925721842,-0.5588938456123983,-0.9852324847219027,-0.9605474592999537,0.7814499695308559,0.9438518446189228,-0.676919548754285,0.8946947823520472,-0.7265656414493364,0.7429797002927054,0.8851123708934994,-0.7485436944144849,-0.7095675922826769,-0.21780456359471786,0.9194169637622832,0.8425108487213158,0.0734166575939186,-0.799910585774354,0.4099027713983834,-0.9715923563394301,-0.9910721942741406,0.8599152372561596,-0.7022020070519237,-0.3908645518846814,0.3962378951729582,0.7896445822626654,-0.7935693283885148,0.7317908688999779,-0.8517911070998441,0.9059268974737247,-0.9682279496512689,0.674032660425738,-0.8023149355770725,-0.8715954368697391,-0.34034290786998866,0.7465799036021404,-0.9445994446429182,0.7255974360421172,0.25350762580148,-0.8163133215449259,-0.931913261447102,0.9388068197883541,0.4056947283136871,0.7955194193550799,0.8526614797949117,-0.8556161132155193,-0.6617014492283488,0.7789417380416221,-0.7647131595318184,0.7795693397270731,0.1380986078190207,-0.499462919688252,-0.8758374717987982,0.9719736837886733,0.9546993076646708,0.7587466736470274,0.829257146426232,-0.5682324308602964
11,110,-0.8486576272312334,6.5320642655806775,-1.0,-1.0,0.9464600097487281,-0.8930092994393524,-0.8836032823082205,0.9853071177414132,-0.8915063485841268,0.9632460023222844,0.9390239794709205,0.9886309451986595,-0.7438820728741684,-0.81783390387055,-0.5582350380851501,0.9465889422153994,0.887930865321028,-0.7682168860995711,0.8931636610681917,-0.7714723742364962,0.515120177646227,0.811223749855154,-0.8701448774498381,-0.9778202521038188,-0.30425359093988746,0.9558333265434039,0.8069434493524849,0.828035560621447,-0.9973374841671571,0.7712205819547752,-0.7262891918622547,-0.705448307517921,0.7572003428577122,-0.8157538547929148,-0.9948375588677494,0.903129413862618,0.09190959361283435,-0.7304726922567135,0.9603933852271673,-0.8789610353156738,0.9359302512334877,-0.7785321377815402,0.7969972846348685,-0.8917923621673811,-0.6280173890482268,-0.4964154028727605,0.9338310311128053,-0.8729901744338663,0.9144725323397953,-0.4910600796204373,-0.7857716962536729,-0.8668187061103422,0.8209484770948376,0.8280074195372072,0.8282531237075297,0.8847796732841271,-0.6954052794676572,-0.7784784866231791,0.9491219047211508,-0.8049863184757697,0.5567875866465278,0.5376501287532315,-0.4724976007020001,-0.8110760842611908,0.7384321965993367,0.9057205740704094,0.9093814603396401,0.8894166502972181,-0.8486576272312334
12,120,-0.7192623353740113,6.348768288908023,-1.0,-1.0,0.8875479717058329,-0.8004798398986532,-0.9781265769627339,0.9761214007708949,-0.39777765113206065,0.8565171645342247,0.7830968888851695,0.7941526900765697,-0.5781820797014394,-0.9999197332957279,-0.814387150286711,0.3833785783159869,0.9959374684765233,-0.5583776869484314,0.5271256173826186,-0.9442496267333444,0.6250662156028856,0.9549054091445552,-0.9690165955000366,-0.34173538643259205,-0.5893341669389036,0.8873664746657486,0.9174345400797652,0.9714221860170484,-0.7999173723541999,0.514905765128041,-0.8601203418548655,-0.8512442832884677,0.8490204218456769,-0.6934202802802438,-0.7614834217744098,0.7880407463229625,0.5054821378675214,-0.7973327708210354,0.8542007020077929,-0.7444091490236939,0.9888877845248931,-0.7645785769978372,0.7349758888158106,-0.5242691101528665,-0.6529950482175831,-0.4267122778653125,0.8147590345832059,-0.9319906836526767,0.6194065113695424,-0.6768509227636286,-0.7865757540086991,-0.9729382881564239,0.8901645468212019,0.8096535763764365,0.8899032171539063,0.8096193885875678,-0.9960974564432267,-0.9620420312997293,0.6515397232343252,-0.6733130258628273,0.8636776944300567,0.5143511362567357,-0.7295896168129272,-0.8839955336059243,0.8922440274607917,0.9317455340313083,0.6975915840922143,0.9479025317161482,-0.7192623353740113
13,130,-0.4298937473290456,6.5244532600351794,-1.0,-1.0,0.8143341640966871,-0.4285961928973047,-0.7569798251504503,0.9570076134322285,-0.6760907619296292,0.8899666003420017,0.8414066544273533,0.9877888667165369,-0.9031050361722287,-0.7374123570538361,-0.8530147595150473,0.6419080494820553,0.9240819038276662,-0.9994945277664775,0.9862668129058364,-0.9897322739920672,0.9179215089995212,0.9821561422626761,-0.9286137532479382,-0.7807596760818696,-0.7179549109887959,0.9501289894434449,0.9479379678429329,0.9905591663956654,-0.953421721085312,0.7330052673025419,-0.731117100517765,-0.7436506619962189,0.950118660151897,-0.7885629064660469,-0.7807817740577923,0.8956708205411068,0.730012536858609,-0.961768475946525,0.8471209575708842,-0.6621965392199312,0.8229152170050185,-0.6843023823114689,0.19480039140938013,-0.67856859872522,-0.6387712431268384,-0.7065028381824733,0.809306527218084,-0.63436531962647,0.8766255647032742,-0.4879992649697651,-0.7952199354757412,-0.8108553766740404,0.7648310339155022,0.49883053053827203,0.7635650899513831,0.9276299655586429,-0.44798729950867433,-0.9650540922366146,0.7674983691307871,-0.9545054151795147,0.9247304578876956,0.6064290814399661,-0.64429894541046,-0.8087440822971934,0.9272508961287853,0.8123117642530457,0.9317560800577587,0.9165066371084423,-0.4298937473290456
14,140,-0.7550743854644445,6.437599939901756,-1.0,-1.0,0.7200652864520753,-0.9448675037342634,-0.503431498086291,0.924791829575573,-0.8870692097350132,0.9007368611055542,0.9890376956084332,0.9577872703372811,-0.22881628487739436,-0.9303635202577492,-0.4933006444600359,0.5204738029724021,0.8681541187045246,-0.9564813261668288,0.8208877729397983,-0.8092186683592204,-0.07926386221148451,0.9953079814658174,-0.9224763862197656,-0.9476119595572686,-0.9838448863911755,0.5614539573454824,0.8357611697831526,0.9666164271028945,-0.5291854323960533,0.5740749575882128,-0.9840885372110952,-0.8860188119425798,0.9096113875079731,-0.7295608190685225,-0.9955142668216487,0.8749193647827048,0.6833338813575082,-0.7129898130149724,0.7918134403203186,-0.9704659945928242,0.7598276779048359,-0.9671264437207749,-0.03203138374775795,-0.3420012050047238,-0.9794344491648693,-0.9787264408080674,0.7925869165072099,-0.8926343417715528,0.8411508546120604,-0.6946734079949584,-0.9889159058399399,-0.8882699285338447,0.8940403380431996,-0.0414180591108408,0.8898360986656906,0.9316736152462071,-0.6926970597354218,-0.3622851593213357,0.9506494295625231,-0.5902779632401379,0.8917517336002923,0.8762025319814333,-0.8051260157974535,-0.8300565419809351,0.9803937601813963,0.6310878858998205,0.8129008997639303,0.37405482738585616,-0.7550743854644445
15,150,-0.601533113368542,6.496065578942066,-1.0,-1.0,0.9561250165261459,-0.37160813421576355,-0.9037989137715643,0.9001447560218692,0.07420782421490368,0.9165180812153428,0.915483063898745,0.9265911844731707,-0.2852919668928989,-0.9382231383423161,-0.948686948186201,0.412841355250796,0.8127428031823358,-0.8268482758538698,0.7961024926822334,-0.8852322069973209,0.42681402935588697,0.8984534235574797,-0.6817208338768646,-0.8849024508871716,-0.9953385825151502,0.9280177284870086,0.7433410076481861,0.8518749882091914,-0.8000322235028964,0.8709426753539505,-0.6641209872533151,-0.6966474183553939,0.7566683966461314,-0.6770921989059756,-0.9325113451731237,0.9399952136745552,0.792560692812055,-0.7685945579637634,0.9282404999642023,-0.7861645562629782,0.9824562512245486,-0.9180973758285356,0.5622965867777256,-0.8134460322051837,-0.811066802852148,-0.7306191874535808,0.875221808275224,-0.8468646270659068,0.9772660156782563,-0.8865406882939415,-0.9649758438662474,-0.8384392578798892,0.8999020281262946,0.24599330484752527,0.9889361475905813,0.7616927187318723,-0.9058284784125297,-0.5160795454379938,0.4204488303501257,-0.9035755416102909,0.9623524973563238,0.9402091963270306,-0.637869617894394,-0.9246351354646166,0.9242372935446799,0.7768428437052065,0.9625686186872243,0.4557760427084578,-0.601533113368542
16,160,-0.5265269655852984,6.4136649426900725,-1.0,-1.0,0.8696089166560399,-0.5978109075039295,-0.42110712233951125,0.6623542186326905,0.19117166234695301,0.8293328471445021,0.973460593897356,0.9482683328025958,-0.9702667183350151,-0.7596180916906942,-0.9788661286070547,0.9672838144288274,0.6904942276416878,-0.610287435531502,0.7364425062397091,-0.7888307549462512,0.5221404332064987,0.843785223657825,-0.7063476703757764,-0.942966687657953,-0.5648327719436774,0.46132704862665924,0.7837004524389847,0.9801363302408994,-0.6559942165606222,0.9879008700726268,-0.7764496716695768,-0.37400789894689074,0.828287914963,-0.9499160223149863,-0.8837825712168699,0.9885796343365918,0.7813970247292801,-0.9148834463902761,0.74232612274949,-0.8532995606285732,0.9704268410422394,-0.8685419751564116,0.9725129977700429,-0.8506421754748422,-0.9312575676896533,-0.30864085821227044,0.7905751417093161,-0.8036829242368803,0.824578909167978,-0.6699819637964959,-0.8119168117168512,-0.8704276315376391,0.8509697763825584,0.33920094128581924,0.9613552690781457,0.8307344963503258,-0.9175701957271616,-0.9346265876654032,0.9074963519716207,-0.7328275293453794,0.7324169075902196,0.6673726076838299,-0.7997267232855674,-0.9056126843413443,0.9320064970938255,0.41654606538764355,0.8882318837737775,0.8714717985051259,-0.5265269655852984
17,170,-0.8190906100331916,6.245940819001801,-1.0,-1.0,0.6965599396270102,-0.923366019653533,-0.8710737056087221,0.9921004983519168,0.2568686947513358,0.9212465386097222,0.7705327080852893,0.9887450409384195,-0.8523056171130624,-0.9421670817217705,-0.7885874127140767,0.7602099909105801,0.8479907405041316,-0.8134500648835754,0.7541067056060965,-0.7579030970999768,0.3003500004578108,0.9788897266648272,-0.6686091392954491,-0.8560339667281512,-0.662363180025235,0.9864776146696599,0.5240536432315386,0.4648964489071168,-0.9170444809559612,0.4914284419614311,-0.5722583603912823,-0.7142035342964047,0.7787943179658424,-0.6223159695125355,-0.8020944874583023,0.40454247692407425,0.27492192475798877,-0.9301330300227326,0.6553900759172389,-0.8502196898968424,0.8846200009842384,-0.8261946887837338,0.7618012812740881,-0.8848434975376898,-0.7699371388932714,-0.6553737807598154,0.9649143464154014,-0.9351549232843973,0.9955580730781444,-0.020221524969951332,-0.9967411167396962,-0.761111543499938,0.9574649425959523,0.8026952100259074,0.8740962952051103,0.9375303635546477,-0.7566356083729111,-0.580881234972785,0.831028612931395,-0.8507848136938367,0.7915783483390229,0.8978629442603514,0.4208840244677412,-0.625327349691712,0.8189229718895462,-0.014766434806936513,0.9730204412731136,0.8914211353935564,-0.8190906100331916
18,180,-0.3338400502928174,6.762585815652663,-1.0,-1.0,0.869076564176523,-0.9050519248480091,-0.9240335255942617,0.9975893257856344,0.21678657163127624,0.9721048045522505,0.7329095767491012,0.7883417636112979,-0.9772181807930957,-0.7508181471248396,-0.8065970446655919,0.7782518306875341,0.8931870246055673,-0.9422827681785053,0.9320161352807186,-0.6590971954151943,0.7902921057571818,0.7131361727085432,-0.7941594836855427,-0.9575405814615152,-0.9457782168133314,0.9959436825168182,0.6600187769118606,0.7749631756550245,-0.8341896284807547,0.8375997216532911,-0.8313297049447774,-0.9127670233791045,0.9809703623992903,-0.9526371973121419,-0.6416513057924702,0.8917525170436261,0.6645038647501815,-0.7804177058192034,0.953956958712062,-0.6099872280384973,0.9930352437600468,-0.9924611780756205,0.7737962651514074,-0.9643233054157987,-0.8319625370125792,-0.7485308393839928,0.7653773990650916,-0.899108034450602,0.9677590410124758,-0.9448812052083149,-0.9395494296951508,-0.953201672201935,0.7475537559796065,0.8705288429844951,0.9612367755379636,0.7510287934269728,-0.8876610487135119,-0.6629263537616978,0.810684578405809,-0.8368720261153837,0.9309692881056587,0.9734484813886567,0.5291818775214973,-0.9524480723122819,0.7348356042901832,0.4285178080868149,0.988937169310684,0.7748693953763746,-0.3338400502928174
19,190,-0.5650880398160689,6.4954423150274065,-1.0,-1.0,0.9382015584006755,-0.9687643135688415,-0.9230454550713836,0.9107873031109559,0.3836595897204391,0.6102900113059864,0.8281990373286042,0.908134468625251,-0.9288343434806695,-0.948471263392042,-0.9827656550782806,0.8985060607042952,0.8041133282307449,-0.7937716926655027,0.5739851948370227,-0.4576879051739553,0.6904535554998946,0.7354823789653597,-0.8071835381001718,-0.6137193788996845,-0.9754548647521691,0.9083284539566465,0.8598427235546042,0.973357894839884,-0.9906470916813328,0.864575921439134,-0.7149393426273392,-0.7770601859923276,0.9900872788617372,-0.9836611292966582,-0.8868462989236873,0.52531007845497,0.817300217460628,-0.9786121120218192,0.5153447591503513,-0.9076215364071052,0.9860721505477592,-0.9544760972921678,0.703418408624064,-0.822658826860027,-0.8271774882854268,-0.658748966923051,0.8582429064670896,-0.5516566940904646,0.7436480370224561,-0.4399654188845536,-0.9554457522058533,-0.8742684806992558,0.8891832184282543,0.34926881121273845,0.6943551966207251,0.7522352435466337,-0.9361637904518404,-0.7551390242427313,0.9960315543201563,-0.8845484802878567,0.9077073672850267,0.672410532983143,-0.3316412387433872,-0.8508513017491617,0.8890138059649249,0.16740311072867547,0.8758962708986936,0.845965705700567,-0.5650880398160689
20,200,-0.9044917102321016,6.485268760480365,-1.0,-1.0,0.7685761567768703,-0.6972002952244184,-0.8628014031592939,0.8780423901744232,0.651449807997653,0.683208950230223,0.6886814952726246,0.9181975702495615,-0.6093123336871005,-0.8467541181337481,-0.9183228600997819,0.6640420479700906,0.7224391153111138,-0.8351655811199405,0.9388002605544319,-0.6989851847661193,0.8989156911980158,0.9877572291698665,-0.906918995484046,-0.9521316030143194,-0.3803283508654799,0.8419497711375749,0.8784537319449166,0.44131437984780275,-0.7350422160537211,0.936080975376042,-0.9597744971792396,-0.8808301455315455,0.7358657093108292,-0.8737082422367543,-0.6828141949119633,0.6857110552882726,0.8526019490208157,-0.8356997277338021,0.6218774896287931,-0.9541517866223144,0.7646808243896652,-0.7102457774196052,0.8690424937029827,-0.9618866893811929,-0.8966927413556077,-0.8560616583849403,0.9497576234350871,-0.9650989104939105,0.742469936573356,-0.7387590785171922,-0.7311687896388519,-0.8744424334877783,0.830422180795245,0.39752013239089407,0.9688191492387395,0.9755842801871744,-0.7988438420112344,-0.8160939732124053,0.8881193207162021,-0.8796555290108146,0.9859762041789984,0.8191594012275991,-0.2663547557222851,-0.7633360204963235,0.7393795239874178,-0.16361685606835993,0.9644044710275947,0.9719801506523796,-0.9044917102321016
