config,nn,seed_index,seed,best_mse,best_accuracy,best_epoch,best_min_margin,best_margin_epoch,first_all_correct_epoch,run_dir
nn7_seed02,7,2,27810,0.036502425,1.0,140,0.94298995,140,70,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\XOR\edge-driven-single-layer-readout\experiments\current\separate_input_output_lines_side16_nn1to10_seeds1to5_e160\nn7_seed02
nn7_seed03,7,3,37810,0.07632535,1.0,130,0.7158922,160,40,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\XOR\edge-driven-single-layer-readout\experiments\current\separate_input_output_lines_side16_nn1to10_seeds1to5_e160\nn7_seed03
nn7_seed04,7,4,47810,0.12201396,1.0,110,0.5366279,160,10,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\XOR\edge-driven-single-layer-readout\experiments\current\separate_input_output_lines_side16_nn1to10_seeds1to5_e160\nn7_seed04
nn7_seed05,7,5,57810,0.07322875,1.0,90,0.6622893,160,30,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\XOR\edge-driven-single-layer-readout\experiments\current\separate_input_output_lines_side16_nn1to10_seeds1to5_e160\nn7_seed05
nn8_seed01,8,1,17911,0.14593337,1.0,150,0.38145772,150,90,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\XOR\edge-driven-single-layer-readout\experiments\current\separate_input_output_lines_side16_nn1to10_seeds1to5_e160\nn8_seed01
nn8_seed02,8,2,27911,0.07641139,1.0,130,0.8629012,150,20,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\XOR\edge-driven-single-layer-readout\experiments\current\separate_input_output_lines_side16_nn1to10_seeds1to5_e160\nn8_seed02
nn8_seed03,8,3,37911,0.10232873,1.0,80,1.028292,160,30,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\XOR\edge-driven-single-layer-readout\experiments\current\separate_input_output_lines_side16_nn1to10_seeds1to5_e160\nn8_seed03
nn8_seed04,8,4,47911,0.16862938,1.0,130,0.38664418,130,70,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\XOR\edge-driven-single-layer-readout\experiments\current\separate_input_output_lines_side16_nn1to10_seeds1to5_e160\nn8_seed04
nn8_seed05,8,5,57911,0.017345328,1.0,150,1.0316885,120,20,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\XOR\edge-driven-single-layer-readout\experiments\current\separate_input_output_lines_side16_nn1to10_seeds1to5_e160\nn8_seed05
nn9_seed01,9,1,18012,0.07019907,1.0,70,1.2039465,130,10,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\XOR\edge-driven-single-layer-readout\experiments\current\separate_input_output_lines_side16_nn1to10_seeds1to5_e160\nn9_seed01
nn9_seed02,9,2,28012,0.024109202,1.0,60,0.9485069,160,10,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\XOR\edge-driven-single-layer-readout\experiments\current\separate_input_output_lines_side16_nn1to10_seeds1to5_e160\nn9_seed02
nn9_seed03,9,3,38012,0.03318192,1.0,40,0.95961803,160,10,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\XOR\edge-driven-single-layer-readout\experiments\current\separate_input_output_lines_side16_nn1to10_seeds1to5_e160\nn9_seed03
nn9_seed04,9,4,48012,0.0947742,1.0,150,0.71936125,150,30,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\XOR\edge-driven-single-layer-readout\experiments\current\separate_input_output_lines_side16_nn1to10_seeds1to5_e160\nn9_seed04
nn9_seed05,9,5,58012,0.07989671,1.0,80,1.1840005,160,10,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\XOR\edge-driven-single-layer-readout\experiments\current\separate_input_output_lines_side16_nn1to10_seeds1to5_e160\nn9_seed05
nn10_seed01,10,1,18113,0.0624349,1.0,80,1.2100981,160,20,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\XOR\edge-driven-single-layer-readout\experiments\current\separate_input_output_lines_side16_nn1to10_seeds1to5_e160\nn10_seed01
nn10_seed02,10,2,28113,0.030518932,1.0,70,1.1823897,160,10,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\XOR\edge-driven-single-layer-readout\experiments\current\separate_input_output_lines_side16_nn1to10_seeds1to5_e160\nn10_seed02
nn10_seed03,10,3,38113,0.070471585,1.0,160,0.7688077,160,30,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\XOR\edge-driven-single-layer-readout\experiments\current\separate_input_output_lines_side16_nn1to10_seeds1to5_e160\nn10_seed03
nn10_seed04,10,4,48113,0.19335476,1.0,150,0.32578844,150,70,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\XOR\edge-driven-single-layer-readout\experiments\current\separate_input_output_lines_side16_nn1to10_seeds1to5_e160\nn10_seed04
nn10_seed05,10,5,58113,0.14967208,1.0,90,0.6941685,90,10,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\XOR\edge-driven-single-layer-readout\experiments\current\separate_input_output_lines_side16_nn1to10_seeds1to5_e160\nn10_seed05
