config,step,q,residual_rms,residual_max,dH_rms,meanabs,frac_09,step_delta,energy,readout_abs,stepsize,temperature
scheduled_no_anneal,500,0.958236553085,0.0436954288869,0.122858237022,0.894244138387,0.939884354163,0.9,0.946781756648,-10.2984340344,0.251531765182,0.0667,0.0001
scheduled_no_anneal,1000,0.970445729512,0.0304709655874,0.0861663298853,0.909242633119,0.953292099468,0.95,0.0966741472718,-10.4533088116,0.25371846622,0.0548,0.0001
scheduled_no_anneal,1500,0.974951528572,0.0257115377214,0.0601090696187,0.915282967633,0.954054778153,0.9625,0.0463457909463,-10.5448842779,0.250928950749,0.0443,0.0001
scheduled_no_anneal,2000,0.979751738187,0.0206912260402,0.0512739470897,0.921846947378,0.96427420045,0.9625,0.0422700783112,-10.6291210294,0.24925698162,0.0352,0.0001
scheduled_no_anneal,2500,0.983373375316,0.0169133207816,0.0386014414543,0.926582268611,0.973589097497,0.9625,0.0315403043384,-10.7034655115,0.255703924507,0.0275,0.0001
scheduled_no_anneal,3000,0.986588051027,0.0135991228329,0.0351123441402,0.930236123375,0.979894869679,0.9625,0.0220240403287,-10.7498749908,0.251662021145,0.0212,0.0001
scheduled_no_anneal,3500,0.989547307144,0.0105667617708,0.0282017259043,0.93467982579,0.9858363477,0.975,0.0181175445247,-10.8097740318,0.251309035329,0.0163,0.0001
scheduled_no_anneal,4000,0.99195141662,0.0081158576451,0.0221843193825,0.936351596361,0.988129098523,0.975,0.0103476960158,-10.8467745493,0.251205315058,0.0128,0.0001
scheduled_no_anneal,4500,0.993087423176,0.00696384501088,0.0211755676136,0.93776807233,0.990370770677,0.975,0.00772275325815,-10.8751683404,0.249635792956,0.0107,0.0001
scheduled_no_anneal,5000,0.993499902543,0.0065442523678,0.0174522944894,0.938435348305,0.99138360997,0.9875,0.00838219277468,-10.8837670562,0.25033431843,0.01,0.0001
constant_anneal,0,0.675169293678,0.48173316906,1,0.517553501781,0,0,0,-0.0806554741009,0,0.05,0.841850380522
constant_anneal,500,0.724725628708,0.380816726484,0.92408634308,0.57915927224,0.498595116685,0.0875,0.578033924219,-2.73387510522,0.238673639537,0.05,0.681917808223
constant_anneal,1000,0.740661055536,0.355371604188,0.782772876672,0.627600116643,0.545230383134,0.15,0.778940797965,-3.8494684619,0.245313318483,0.05,0.538820243534
constant_anneal,1500,0.740254330252,0.353592661194,0.817187316936,0.694208235764,0.525875287348,0.1375,0.729310610233,-4.36792234986,0.174012480678,0.05,0.412557686456
constant_anneal,2000,0.785394940401,0.275693299052,0.690069856744,0.691731595993,0.667153037914,0.2125,0.797153009912,-5.84764425665,0.425426448181,0.05,0.303130136988
constant_anneal,2500,0.767692688482,0.303942605771,0.733501686079,0.748866192223,0.617763324257,0.2125,0.785396026888,-5.78981593177,0.227344542674,0.05,0.21053759513
constant_anneal,3000,0.809387207208,0.236098187397,0.571762709907,0.823591368463,0.722637774317,0.3375,0.553745412695,-7.91496715876,0.220141960796,0.05,0.134780060884
constant_anneal,3500,0.867582847945,0.152742856831,0.364073028348,0.850304350958,0.810009370347,0.45,0.396191417123,-8.89142942916,0.259924131094,0.05,0.075857534247
constant_anneal,4000,0.917868521305,0.0895863172259,0.213642062156,0.898577736543,0.891331646853,0.6875,0.229326218609,-9.93165412971,0.243264296085,0.05,0.0337700152209
constant_anneal,4500,0.956704887509,0.0453356823543,0.122733265345,0.920481697092,0.938016451676,0.9,0.124743183534,-10.3864989687,0.254066838433,0.05,0.00851750380522
constant_anneal,5000,0.971443545583,0.0294181124819,0.0718913554511,0.922342752185,0.969497765344,0.9875,0.102865519304,-10.4644382122,0.247915181189,0.05,0.0001
scheduled_anneal,0,0.675169293678,0.48173316906,1,0.517553501781,0,0,0,-0.0806554741009,0,0.08,0.841850380522
scheduled_anneal,500,0.717288836602,0.396084232125,0.969400863637,0.588432896589,0.504945004735,0.1375,0.582592809349,-2.69414671311,0.296078058107,0.0667,0.681917808223
scheduled_anneal,1000,0.736657872267,0.361300720488,0.848400484375,0.631126548485,0.545199246734,0.1625,0.764456194127,-3.83116246333,0.231536713336,0.0548,0.538820243534
scheduled_anneal,1500,0.741711201267,0.351017512144,0.831585390505,0.698629004753,0.526377082217,0.1625,0.739559687312,-4.41218887207,0.193873816544,0.0443,0.412557686456
