sample,label,mode,post_max_sweeps,noise_factor,noise_scale,draw,seconds,checks,sweeps,equilibrated,mean_abs_delta,threshold,energy,energy_delta,pred,correct,reward,distance_from_base,distance_from_previous,signature
1,0,base,25.0,0.5,0.01581139,11,0.001027,25,25.0,false,0.02660048,0.005754757,-6.58989,-0.5977473,3,false,-2.8743641,0.025,0.025,169a71de21d4ad42
1,0,base,25.0,0.5,0.01581139,12,0.001038,25,25.0,false,0.023009062,0.0060465457,-6.582325,-0.5901823,3,false,-2.902697,0.03125,0.03125,3ffde0b5ee0d515f
1,0,base,25.0,0.5,0.01581139,13,0.00098,25,25.0,false,0.021138668,0.0073928237,-6.6371255,-0.6449828,3,false,-2.8236496,0.05625,0.05625,72c2bc61ed0e5397
1,0,base,25.0,0.5,0.01581139,14,0.001167,25,25.0,false,0.019350827,0.0061914446,-6.61152,-0.61937714,3,false,-2.8049505,0.0375,0.0375,837695b2b892f2c0
1,0,base,25.0,0.5,0.01581139,15,0.001246,25,25.0,false,0.028624117,0.0085331565,-6.638536,-0.6463933,3,false,-2.9729495,0.0375,0.0375,d56e1b06d4477a2c
1,0,base,25.0,0.5,0.01581139,16,0.001008,25,25.0,false,0.016086876,0.0077436925,-6.604957,-0.6128144,3,false,-2.8078537,0.03125,0.03125,db0ed095e26b200b
1,0,base,25.0,0.5,0.01581139,17,0.001205,25,25.0,false,0.029214859,0.006593752,-6.5967574,-0.60461473,3,false,-2.7991793,0.03125,0.03125,8faed80787d0efd1
1,0,base,25.0,0.5,0.01581139,18,0.001293,25,25.0,false,0.016348422,0.007856393,-6.6145124,-0.62236977,3,false,-2.7896655,0.0375,0.0375,de90d274caee892c
1,0,base,25.0,0.5,0.01581139,19,0.001279,25,25.0,false,0.018400252,0.0053464533,-6.587041,-0.5948982,3,false,-2.851329,0.05,0.05,50efa9e72ab5b308
1,0,base,25.0,0.5,0.01581139,20,0.001283,25,25.0,false,0.026207864,0.009203935,-6.6379876,-0.64584494,3,false,-2.826501,0.0375,0.0375,d9ae8921e8f25b4c
1,0,base,25.0,1.0,0.03162278,1,0.000973,25,25.0,false,0.029364884,0.0064257025,-6.56374,-0.5715971,3,false,-2.7620564,0.0375,0.0375,4fdf225d0fbad54a
1,0,base,25.0,1.0,0.03162278,2,0.000958,25,25.0,false,0.025365531,0.006692505,-6.6542735,-0.66213083,3,false,-2.8515425,0.01875,0.01875,811b8bb92f050f1f
1,0,base,25.0,1.0,0.03162278,3,0.000967,25,25.0,false,0.016964316,0.0071086884,-6.6448755,-0.65273285,3,false,-2.7893043,0.0375,0.0375,6c9f707ce90225ea
1,0,base,25.0,1.0,0.03162278,4,0.000988,25,25.0,false,0.0150159,0.0061614155,-6.5801063,-0.5879636,3,false,-2.8700843,0.03125,0.03125,b0b6866763844f07
1,0,base,25.0,1.0,0.03162278,5,0.000951,25,25.0,false,0.031262994,0.008046783,-6.637459,-0.6453161,3,false,-2.8076332,0.04375,0.04375,8e085b38e9cf7327
1,0,base,25.0,1.0,0.03162278,6,0.000965,25,25.0,false,0.024260819,0.005973661,-6.6092424,-0.61709976,3,false,-2.8982558,0.0375,0.0375,83fef9258a6f63b0
1,0,base,25.0,1.0,0.03162278,7,0.000971,25,25.0,false,0.027652442,0.008018816,-6.6589847,-0.666842,3,false,-2.802678,0.03125,0.03125,a117896cb85a985f
1,0,base,25.0,1.0,0.03162278,8,0.000973,25,25.0,false,0.016949177,0.007958734,-6.607231,-0.61508846,3,false,-2.828477,0.05,0.05,cd3fa6fd3fde305c
1,0,base,25.0,1.0,0.03162278,9,0.000968,25,25.0,false,0.028616965,0.010082829,-6.677401,-0.6852584,3,false,-2.8713553,0.0375,0.0375,c51ca428cb672170
1,0,base,25.0,1.0,0.03162278,10,0.000961,25,25.0,false,0.025800467,0.007927156,-6.648761,-0.6566181,3,false,-2.835074,0.0375,0.0375,4f5fb8fe3cc52096
1,0,base,25.0,1.0,0.03162278,11,0.000957,25,25.0,false,0.020763934,0.0071204784,-6.6095343,-0.6173916,3,false,-2.7991695,0.03125,0.03125,1e791dc669eedbcd
1,0,base,25.0,1.0,0.03162278,12,0.000966,25,25.0,false,0.022800207,0.0052525285,-6.5987196,-0.6065769,3,false,-2.807301,0.03125,0.03125,dfecc6b23ed3e4db
1,0,base,25.0,1.0,0.03162278,13,0.000965,25,25.0,false,0.027029395,0.006385529,-6.669824,-0.67768145,3,false,-2.8020241,0.05,0.05,0e24275cb37df644
1,0,base,25.0,1.0,0.03162278,14,0.000957,25,25.0,false,0.016771674,0.008177507,-6.576743,-0.58460045,3,false,-2.8944192,0.0625,0.0625,f7aea8a3ff82d14e
1,0,base,25.0,1.0,0.03162278,15,0.000966,25,25.0,false,0.031154275,0.0046609044,-6.6100454,-0.61790276,3,false,-2.785689,0.05,0.05,0eed5b399ea231dc
1,0,base,25.0,1.0,0.03162278,16,0.001,25,25.0,false,0.02652657,0.006958461,-6.6480284,-0.6558857,3,false,-2.7872634,0.04375,0.04375,52355d4ca23b74f5
1,0,base,25.0,1.0,0.03162278,17,0.000958,25,25.0,false,0.020982921,0.0068504573,-6.650478,-0.6583352,3,false,-2.8147707,0.04375,0.04375,0b6c2ea6326261c7
1,0,base,25.0,1.0,0.03162278,18,0.000955,25,25.0,false,0.019505441,0.0061836364,-6.61089,-0.61874723,3,false,-2.8066473,0.03125,0.03125,793d46445b714fa1
1,0,base,25.0,1.0,0.03162278,19,0.000965,25,25.0,false,0.026492596,0.0072250604,-6.6583805,-0.66623783,3,false,-2.8352044,0.03125,0.03125,dfecc6b23ed3e4db
1,0,base,25.0,1.0,0.03162278,20,0.000956,25,25.0,false,0.022748828,0.008552372,-6.6422668,-0.6501241,3,false,-2.810426,0.04375,0.04375,c3537f64741fcfc5
1,0,base,25.0,2.0,0.06324556,1,0.001084,25,25.0,false,0.019144535,0.009481347,-6.620909,-0.62876654,3,false,-2.7848408,0.03125,0.03125,4f7f23e9bbe6cfa7
1,0,base,25.0,2.0,0.06324556,2,0.000971,25,25.0,false,0.02496475,0.00861969,-6.6194687,-0.627326,3,false,-2.8568168,0.025,0.025,74e349645fc7120e
1,0,base,25.0,2.0,0.06324556,3,0.000975,25,25.0,false,0.03119874,0.010475302,-6.6246953,-0.6325526,3,false,-2.8372126,0.01875,0.01875,183e355b372a4587
1,0,base,25.0,2.0,0.06324556,4,0.000971,25,25.0,false,0.031482697,0.007858098,-6.6232157,-0.631073,3,false,-2.8424313,0.03125,0.03125,c717c35cb22d4a9d
1,0,base,25.0,2.0,0.06324556,5,0.000956,25,25.0,false,0.018181622,0.0066638114,-6.541142,-0.5489993,3,false,-2.845078,0.0125,0.0125,adb30557cca97f90
1,0,base,25.0,2.0,0.06324556,6,0.000984,25,25.0,false,0.024433017,0.007985222,-6.657373,-0.6652303,3,false,-2.820863,0.05,0.05,6bf6ecd2ea79a122
1,0,base,25.0,2.0,0.06324556,7,0.000963,25,25.0,false,0.026481152,0.007975781,-6.607835,-0.61569214,3,false,-2.865478,0.0375,0.0375,ac7083a974d3926c
1,0,base,25.0,2.0,0.06324556,8,0.000959,25,25.0,false,0.019353926,0.006820989,-6.6318593,-0.6397166,3,false,-2.8992574,0.0375,0.0375,0e5e1c51b071176c
1,0,base,25.0,2.0,0.06324556,9,0.000956,25,25.0,false,0.021356344,0.0074089053,-6.6015577,-0.60941505,3,false,-2.8090935,0.01875,0.01875,26d181a98ff62639
1,0,base,25.0,2.0,0.06324556,10,0.000967,25,25.0,false,0.023197174,0.008182585,-6.6545444,-0.6624017,3,false,-2.8303497,0.03125,0.03125,e2a3001525288a29
1,0,base,25.0,2.0,0.06324556,11,0.000957,25,25.0,false,0.0264619,0.0069940328,-6.60089,-0.6087475,3,false,-2.828087,0.0625,0.0625,d0da377d46ee7764
1,0,base,25.0,2.0,0.06324556,12,0.000958,25,25.0,false,0.021335304,0.008127356,-6.6334805,-0.6413379,3,false,-2.897231,0.0375,0.0375,5633c44fcc9881ce
1,0,base,25.0,2.0,0.06324556,13,0.000974,25,25.0,false,0.024948776,0.009512484,-6.6587315,-0.6665888,3,false,-2.8207445,0.04375,0.04375,34579a963ca066e7
1,0,base,25.0,2.0,0.06324556,14,0.00096,25,25.0,false,0.023505151,0.008061016,-6.610838,-0.61869526,3,false,-2.8177679,0.05625,0.05625,9aaf5c93088eee9d
1,0,base,25.0,2.0,0.06324556,15,0.000959,25,25.0,false,0.018074214,0.0060797334,-6.623992,-0.6318493,3,false,-2.7768269,0.0375,0.0375,6897d358d5ab874c
1,0,base,25.0,2.0,0.06324556,16,0.000964,25,25.0,false,0.019418001,0.0075484635,-6.594591,-0.60244846,3,false,-2.8198247,0.05,0.05,a7dfcab41d6fc64a
1,0,base,25.0,2.0,0.06324556,17,0.000955,25,25.0,false,0.019059777,0.008952475,-6.613629,-0.6214862,3,false,-2.8245728,0.05,0.05,7828c1af344cd1cc
1,0,base,25.0,2.0,0.06324556,18,0.000967,25,25.0,false,0.017500103,0.008293045,-6.6135454,-0.62140274,3,false,-2.8671052,0.03125,0.03125,29308669f4cf9eaf
1,0,base,25.0,2.0,0.06324556,19,0.000965,25,25.0,false,0.027540982,0.007129431,-6.632037,-0.6398945,3,false,-2.8093495,0.0375,0.0375,75c9bceecf735956
1,0,base,25.0,2.0,0.06324556,20,0.000965,25,25.0,false,0.036424994,0.008672905,-6.5875454,-0.5954027,3,false,-2.8493803,0.03125,0.03125,c91f6c664596322b
1,0,base,25.0,4.0,0.12649111,1,0.001064,25,25.0,false,0.025705576,0.011643076,-6.567055,-0.57491255,3,false,-2.873489,0.025,0.025,4ae5273c8cb6a0ce
1,0,base,25.0,4.0,0.12649111,2,0.00113,25,25.0,false,0.025776803,0.008975732,-6.6338353,-0.64169264,3,false,-2.9083867,0.04375,0.04375,6c863cef768eab9b
1,0,base,25.0,4.0,0.12649111,3,0.000965,25,25.0,false,0.033279717,0.013959897,-6.566313,-0.5741701,3,false,-2.7610695,0.03125,0.03125,48ac3671ee5f41e1
1,0,base,25.0,4.0,0.12649111,4,0.001098,25,25.0,false,0.018399894,0.011789155,-6.6040454,-0.6119027,3,false,-2.681797,0.025,0.025,47a0780173cca11c
1,0,base,25.0,4.0,0.12649111,5,0.000992,25,25.0,false,0.024386585,0.011475253,-6.6117554,-0.6196127,3,false,-2.8195796,0.05625,0.05625,58a7e5dda7688e0b
1,0,base,25.0,4.0,0.12649111,6,0.000972,25,25.0,false,0.016558588,0.011341894,-6.590181,-0.5980382,3,false,-2.78579,0.0375,0.0375,16a455d7d17dca20
1,0,base,25.0,4.0,0.12649111,7,0.000965,25,25.0,false,0.024873793,0.011806214,-6.521495,-0.5293522,3,false,-2.8539066,0.04375,0.04375,23bd382f0bd1aa93
1,0,base,25.0,4.0,0.12649111,8,0.00097,25,25.0,false,0.020742834,0.012380588,-6.6066575,-0.6145148,3,false,-2.8350077,0.04375,0.04375,d5c4e3039b7cad39
1,0,base,25.0,4.0,0.12649111,9,0.000984,25,25.0,false,0.02167517,0.010827196,-6.596185,-0.60404253,3,false,-2.7996356,0.01875,0.01875,e1c60db650ca3197
1,0,base,25.0,4.0,0.12649111,10,0.000964,25,25.0,false,0.023950875,0.013603091,-6.6203623,-0.6282196,3,false,-2.8493595,0.05,0.05,4b0d72d2cbc87cda
1,0,base,25.0,4.0,0.12649111,11,0.000973,25,25.0,false,0.033231974,0.008764553,-6.545051,-0.5529084,3,false,-2.9394624,0.03125,0.03125,7e65525648b069d1
1,0,base,25.0,4.0,0.12649111,12,0.000987,25,25.0,false,0.03428316,0.0113307955,-6.562534,-0.5703912,3,false,-2.834761,0.01875,0.01875,4b8056731d0353c1
1,0,base,25.0,4.0,0.12649111,13,0.000978,25,25.0,false,0.024765134,0.012168991,-6.607559,-0.6154165,3,false,-2.9248374,0.03125,0.03125,1deaa7ee37598169
1,0,base,25.0,4.0,0.12649111,14,0.000958,25,25.0,false,0.03066063,0.010508574,-6.661592,-0.6694493,3,false,-2.8447475,0.05,0.05,88548bcf14fbb790
1,0,base,25.0,4.0,0.12649111,15,0.000981,25,25.0,false,0.028377056,0.009513271,-6.616188,-0.6240454,3,false,-2.9281924,0.04375,0.04375,e0315235ae59ce8d
1,0,base,25.0,4.0,0.12649111,16,0.000964,25,25.0,false,0.027687669,0.010837472,-6.5328574,-0.54071474,3,false,-2.8515077,0.04375,0.04375,0ff1d095060b9977
1,0,base,25.0,4.0,0.12649111,17,0.000973,25,25.0,false,0.047124565,0.010457933,-6.592277,-0.6001344,3,false,-2.7665896,0.03125,0.03125,cc2ad8ff9e06a825
1,0,base,25.0,4.0,0.12649111,18,0.00096,25,25.0,false,0.02148509,0.010349906,-6.5970616,-0.60491896,3,false,-2.8510282,0.04375,0.04375,c7ef49271baf7a75
1,0,base,25.0,4.0,0.12649111,19,0.000979,25,25.0,false,0.031276703,0.013252533,-6.6178308,-0.6256881,3,false,-2.8332753,0.04375,0.04375,2452904d9866d9df
1,0,base,25.0,4.0,0.12649111,20,0.000967,25,25.0,false,0.023759902,0.011561155,-6.535808,-0.5436654,3,false,-2.863188,0.03125,0.03125,05c23d7047ebc859
1,0,base,50.0,0.5,0.01581139,1,0.001932,50,50.0,false,0.028511047,0.005422175,-6.7821465,-0.7900038,3,false,-2.7743764,0.05,0.05,16e6326c288f9732
1,0,base,50.0,0.5,0.01581139,2,0.001927,50,50.0,false,0.02418828,0.0046722293,-6.83043,-0.83828735,3,false,-2.8520415,0.05625,0.05625,cba00f8c45f804c1
1,0,base,50.0,0.5,0.01581139,3,0.00193,50,50.0,false,0.018785536,0.007167256,-6.797762,-0.80561924,3,false,-2.8574533,0.06875,0.06875,cf48e28ebbab8437
1,0,base,50.0,0.5,0.01581139,4,0.001943,50,50.0,false,0.018104076,0.009813964,-6.788763,-0.79662037,3,false,-2.8716617,0.0625,0.0625,ce4f36d6261f109e
1,0,base,50.0,0.5,0.01581139,5,0.001946,50,50.0,false,0.018806636,0.005201507,-6.7780595,-0.7859168,3,false,-2.855639,0.04375,0.04375,7a0fbfacbe2415f1
1,0,base,50.0,0.5,0.01581139,6,0.002036,50,50.0,false,0.008877754,0.0051914337,-6.764295,-0.7721524,3,false,-2.7719092,0.05,0.05,26e2ac5a56891306
1,0,base,50.0,0.5,0.01581139,7,0.001921,50,50.0,false,0.011988997,0.0053464295,-6.7736034,-0.78146076,3,false,-2.733988,0.0625,0.0625,351bbd4bf2df57ea
1,0,base,50.0,0.5,0.01581139,8,0.001972,50,50.0,false,0.010889292,0.0059894803,-6.768185,-0.77604246,3,false,-2.8214679,0.0375,0.0375,39faa092bcb3d79a
1,0,base,50.0,0.5,0.01581139,9,0.001987,50,50.0,false,0.018334985,0.006941569,-6.7477856,-0.7556429,3,false,-2.8622205,0.04375,0.04375,88a30bfb16eff6a3
1,0,base,50.0,0.5,0.01581139,10,0.002352,50,50.0,false,0.01132524,0.0056725624,-6.752077,-0.7599344,3,false,-2.7431884,0.06875,0.06875,28548f171695bdc1
1,0,base,50.0,0.5,0.01581139,11,0.002053,50,50.0,false,0.018629014,0.006325817,-6.7262664,-0.7341237,3,false,-2.8707047,0.0375,0.0375,d97f073ada0f08be
1,0,base,50.0,0.5,0.01581139,12,0.002,50,50.0,false,0.01793778,0.0069018006,-6.7442927,-0.75215006,3,false,-2.7830172,0.05625,0.05625,93f7d77c05e37c03
1,0,base,50.0,0.5,0.01581139,13,0.001934,50,50.0,false,0.02359432,0.0076161027,-6.890233,-0.89809036,3,false,-2.7923994,0.05,0.05,e3a1d7bb5e59e1b2
1,0,base,50.0,0.5,0.01581139,14,0.001984,50,50.0,false,0.013884425,0.0073515177,-6.77496,-0.78281736,3,false,-2.839636,0.0625,0.0625,48d9ad6f1c3aa23c
1,0,base,50.0,0.5,0.01581139,15,0.001929,50,50.0,false,0.019888759,0.006127048,-6.862442,-0.87029934,3,false,-2.880247,0.05625,0.05625,53682065871ab8e3
1,0,base,50.0,0.5,0.01581139,16,0.002039,50,50.0,false,0.014259636,0.0067998054,-6.784699,-0.7925563,3,false,-2.8045099,0.04375,0.04375,5e3603589bad6187
1,0,base,50.0,0.5,0.01581139,17,0.001992,50,50.0,false,0.02037692,0.0067545893,-6.735854,-0.7437115,3,false,-2.7950723,0.04375,0.04375,dbbf88d3dc1fb12f
1,0,base,50.0,0.5,0.01581139,18,0.001951,50,50.0,false,0.027755141,0.0064085247,-6.785178,-0.7930355,3,false,-2.8861172,0.06875,0.06875,d846f8e25acc4463
1,0,base,50.0,0.5,0.01581139,19,0.001948,50,50.0,false,0.020607352,0.007806373,-6.8014073,-0.80926466,3,false,-2.8669696,0.04375,0.04375,17870b418326f8dd
1,0,base,50.0,0.5,0.01581139,20,0.002278,50,50.0,false,0.019641459,0.007960535,-6.8225584,-0.8304157,3,false,-2.8877425,0.05625,0.05625,d35889ad18595ccd
1,0,base,50.0,1.0,0.03162278,1,0.002043,50,50.0,false,0.020004034,0.007195592,-6.8075433,-0.8154006,3,false,-2.886227,0.03125,0.03125,e2ed160ab5fedf89
1,0,base,50.0,1.0,0.03162278,2,0.001934,50,50.0,false,0.016194344,0.006858206,-6.7786055,-0.7864628,3,false,-2.8689196,0.0375,0.0375,93292925d7bc1666
1,0,base,50.0,1.0,0.03162278,3,0.002018,50,50.0,false,0.018287957,0.0063856007,-6.7795477,-0.787405,3,false,-2.8924778,0.05625,0.05625,c09d46018dcb2a77
1,0,base,50.0,1.0,0.03162278,4,0.002026,50,50.0,false,0.018623292,0.006550646,-6.760106,-0.7679634,3,false,-2.9282618,0.06875,0.06875,3724f8dd6eacabc5
1,0,base,50.0,1.0,0.03162278,5,0.001941,50,50.0,false,0.01857233,0.0066725495,-6.7738614,-0.78171873,3,false,-2.8711615,0.05,0.05,b300a50f2993d520
1,0,base,50.0,1.0,0.03162278,6,0.001968,50,50.0,false,0.021055102,0.0077483654,-6.789223,-0.7970805,3,false,-2.732306,0.06875,0.06875,343c898250542c83
1,0,base,50.0,1.0,0.03162278,7,0.001993,50,50.0,false,0.024812102,0.0055855513,-6.7310467,-0.738904,3,false,-2.80551,0.05625,0.05625,113758590051c267
1,0,base,50.0,1.0,0.03162278,8,0.001976,50,50.0,false,0.01839,0.006196046,-6.841784,-0.8496413,3,false,-2.8318603,0.0625,0.0625,bfe09d81877e29c4
1,0,base,50.0,1.0,0.03162278,9,0.001953,50,50.0,false,0.015494347,0.0053563477,-6.779643,-0.7875004,3,false,-2.8695734,0.05625,0.05625,31db0c69f4d9b34b
1,0,base,50.0,1.0,0.03162278,10,0.00195,50,50.0,false,0.015034199,0.0069346786,-6.7750173,-0.7828746,3,false,-2.873477,0.05625,0.05625,70a2164f1ca2ba23
1,0,base,50.0,1.0,0.03162278,11,0.001945,50,50.0,false,0.015266478,0.006964338,-6.8056684,-0.8135257,3,false,-2.8191147,0.05,0.05,910bdcddf6421c5a
1,0,base,50.0,1.0,0.03162278,12,0.001965,50,50.0,false,0.0330472,0.007758558,-6.854813,-0.8626704,3,false,-2.8054848,0.06875,0.06875,aefab1b232b54519
1,0,base,50.0,1.0,0.03162278,13,0.001622,40,40.0,true,0.008790791,0.008900011,-6.692471,-0.70032835,3,false,-2.820611,0.0375,0.0375,ea3a1042a8ef08f2
1,0,base,50.0,1.0,0.03162278,14,0.001932,50,50.0,false,0.019788146,0.008256078,-6.7940564,-0.80191374,3,false,-2.8490508,0.0625,0.0625,594eddcb914237f6
1,0,base,50.0,1.0,0.03162278,15,0.001937,50,50.0,false,0.013975024,0.0075248363,-6.791131,-0.79898834,3,false,-2.8836365,0.05,0.05,b300a50f2993d520
1,0,base,50.0,1.0,0.03162278,16,0.002669,50,50.0,false,0.026277304,0.006475139,-6.804013,-0.8118701,3,false,-2.79271,0.0625,0.0625,0841a286dfddf1ba
1,0,base,50.0,1.0,0.03162278,17,0.001902,50,50.0,false,0.024810016,0.0071806074,-6.8384295,-0.8462868,3,false,-2.679834,0.0625,0.0625,4b71b986168efb8e
1,0,base,50.0,1.0,0.03162278,18,0.00197,50,50.0,false,0.027146101,0.006502283,-6.780916,-0.78877354,3,false,-2.7901473,0.0625,0.0625,3a603564f7dc329c
1,0,base,50.0,1.0,0.03162278,19,0.001967,50,50.0,false,0.02292186,0.0060632112,-6.8731704,-0.8810277,3,false,-2.9257884,0.04375,0.04375,a97d6d6b543ace9d
1,0,base,50.0,1.0,0.03162278,20,0.001933,50,50.0,false,0.022707403,0.0062483074,-6.805403,-0.81326056,3,false,-2.8584392,0.04375,0.04375,78df362cbda17949
1,0,base,50.0,2.0,0.06324556,1,0.001906,50,50.0,false,0.019133687,0.008644235,-6.7815347,-0.789392,3,false,-2.8612614,0.0625,0.0625,21f0c761ebb3b6dc
1,0,base,50.0,2.0,0.06324556,2,0.001909,50,50.0,false,0.019532442,0.0077208164,-6.790248,-0.79810524,3,false,-2.8725193,0.05,0.05,88f29b2dfca42fb4
1,0,base,50.0,2.0,0.06324556,3,0.001909,50,50.0,false,0.019276142,0.008925187,-6.7713556,-0.77921295,3,false,-2.876186,0.05,0.05,74c8b555ddd40f3c
1,0,base,50.0,2.0,0.06324556,4,0.002011,50,50.0,false,0.017514646,0.009608782,-6.7487116,-0.7565689,3,false,-2.8970227,0.0375,0.0375,d27c778269b1f4d4
1,0,base,50.0,2.0,0.06324556,5,0.001998,50,50.0,false,0.010813534,0.009226561,-6.72865,-0.7365074,3,false,-2.8580706,0.06875,0.06875,223d6201239574e1
1,0,base,50.0,2.0,0.06324556,6,0.001925,50,50.0,false,0.030913532,0.008732808,-6.821984,-0.82984114,3,false,-2.8529906,0.04375,0.04375,88a30bfb16eff6a3
1,0,base,50.0,2.0,0.06324556,7,0.002001,50,50.0,false,0.032888353,0.007169855,-6.778971,-0.7868285,3,false,-2.8247454,0.0375,0.0375,ecdc4f83824a2d48
1,0,base,50.0,2.0,0.06324556,8,0.001954,50,50.0,false,0.017928064,0.0068365335,-6.8349223,-0.84277964,3,false,-2.8688629,0.05,0.05,b300a50f2993d520
1,0,base,50.0,2.0,0.06324556,9,0.002025,50,50.0,false,0.028765857,0.00801183,-6.860483,-0.8683405,3,false,-2.7598987,0.0625,0.0625,070a058a761f8ea2
1,0,base,50.0,2.0,0.06324556,10,0.002017,50,50.0,false,0.026088059,0.009694326,-6.791122,-0.7989793,3,false,-2.867273,0.04375,0.04375,e64168a4fbb1915f
1,0,base,50.0,2.0,0.06324556,11,0.002035,50,50.0,false,0.028501213,0.007950569,-6.769658,-0.7775154,3,false,-2.818675,0.0625,0.0625,d839fadc1e815ff2
1,0,base,50.0,2.0,0.06324556,12,0.001943,50,50.0,false,0.023396015,0.0069059134,-6.7312517,-0.73910904,3,false,-2.881319,0.05625,0.05625,3961c009e1901485
1,0,base,50.0,2.0,0.06324556,13,0.001986,50,50.0,false,0.02219969,0.008629501,-6.7902555,-0.79811287,3,false,-2.897394,0.0375,0.0375,9af9b17be0fae1b4
1,0,base,50.0,2.0,0.06324556,14,0.002029,50,50.0,false,0.02394855,0.008192158,-6.73839,-0.7462473,3,false,-2.8195617,0.05625,0.05625,0eca8e16475d32cd
1,0,base,50.0,2.0,0.06324556,15,0.002227,50,50.0,false,0.014055073,0.0084670065,-6.8221416,-0.82999897,3,false,-2.8521578,0.06875,0.06875,f9bd8236afc97f61
1,0,base,50.0,2.0,0.06324556,16,0.001937,50,50.0,false,0.010669768,0.008247221,-6.8327928,-0.8406501,3,false,-2.8424993,0.04375,0.04375,7a0fbfacbe2415f1
1,0,base,50.0,2.0,0.06324556,17,0.002047,50,50.0,false,0.016810417,0.010295701,-6.753379,-0.7612362,3,false,-2.8169022,0.04375,0.04375,90fadf049aae63bf
1,0,base,50.0,2.0,0.06324556,18,0.002041,50,50.0,false,0.027104855,0.010779214,-6.864499,-0.8723564,3,false,-2.8620071,0.05625,0.05625,f1de7270ac9a9693
1,0,base,50.0,2.0,0.06324556,19,0.001945,50,50.0,false,0.01694417,0.008495641,-6.827179,-0.8350363,3,false,-2.8733935,0.0625,0.0625,f8361c7df31829a2
1,0,base,50.0,2.0,0.06324556,20,0.001945,50,50.0,false,0.031017005,0.0065252664,-6.8430367,-0.850894,3,false,-2.878226,0.04375,0.04375,c63804330ee048c5
1,0,base,50.0,4.0,0.12649111,1,0.002244,50,50.0,false,0.023616016,0.012357175,-6.8514595,-0.8593168,3,false,-2.8123505,0.05625,0.05625,c58714b94c41238f
1,0,base,50.0,4.0,0.12649111,2,0.001963,50,50.0,false,0.025818646,0.009296286,-6.7854443,-0.7933016,3,false,-2.8520489,0.04375,0.04375,a9ab475b12a64bfb
1,0,base,50.0,4.0,0.12649111,3,0.00201,50,50.0,false,0.021054626,0.009868801,-6.795429,-0.80328655,3,false,-2.7363076,0.04375,0.04375,e2960af2e23d2a8b
1,0,base,50.0,4.0,0.12649111,4,0.00155,40,40.0,true,0.010318041,0.01176194,-6.698456,-0.70631313,3,false,-2.8625312,0.03125,0.03125,635e0f6a88ec7bb7
1,0,base,50.0,4.0,0.12649111,5,0.001392,36,36.0,true,0.009090066,0.010230768,-6.6898384,-0.69769573,3,false,-2.7452745,0.0375,0.0375,10f8475de2220824
1,0,base,50.0,4.0,0.12649111,6,0.002018,50,50.0,false,0.018633664,0.012777018,-6.762059,-0.76991653,3,false,-2.6970797,0.05625,0.05625,0895aedb8c8b41d3
1,0,base,50.0,4.0,0.12649111,7,0.001944,50,50.0,false,0.017441392,0.011010098,-6.7988687,-0.806726,3,false,-2.83255,0.06875,0.06875,f4bb5c4221b0e319
