Running bespoke XOR search with 1 config(s)
  epoch=7300 mse=1.010463 acc=0.75 margin=0.020989 grad=0.257896 delta=6.749522 weight_rms=0.2
  epoch=7400 mse=1.008805 acc=0.75 margin=0.021779 grad=0.233062 delta=6.790591 weight_rms=0.2
  epoch=7500 mse=1.009966 acc=0.75 margin=0.020152 grad=0.231666 delta=6.793554 weight_rms=0.2
  epoch=7600 mse=1.009608 acc=0.75 margin=0.021012 grad=0.254202 delta=6.828223 weight_rms=0.2
  epoch=7700 mse=1.009123 acc=0.75 margin=0.018748 grad=0.234708 delta=6.83864 weight_rms=0.2
  epoch=7800 mse=1.009643 acc=0.75 margin=0.017986 grad=0.25075 delta=6.836995 weight_rms=0.2
  epoch=7900 mse=1.007691 acc=0.75 margin=0.020711 grad=0.241947 delta=6.828126 weight_rms=0.2
  epoch=8000 mse=1.012955 acc=0.75 margin=0.017918 grad=0.215014 delta=6.800209 weight_rms=0.2
  epoch=8100 mse=1.013931 acc=0.75 margin=0.015765 grad=0.188517 delta=6.812124 weight_rms=0.2
  epoch=8200 mse=1.017137 acc=0.75 margin=0.015092 grad=0.162618 delta=6.87867 weight_rms=0.2
  epoch=8300 mse=1.020123 acc=0.75 margin=0.01037 grad=0.200481 delta=6.875969 weight_rms=0.2
  epoch=8400 mse=1.019338 acc=0.75 margin=0.010202 grad=0.19307 delta=6.936532 weight_rms=0.2
  epoch=8500 mse=1.019201 acc=0.75 margin=0.012427 grad=0.203703 delta=7.074388 weight_rms=0.2
  epoch=8600 mse=1.021882 acc=0.75 margin=0.011212 grad=0.163598 delta=7.085035 weight_rms=0.2
  epoch=8700 mse=1.025644 acc=0.75 margin=0.009057 grad=0.175394 delta=7.079096 weight_rms=0.2
  epoch=8800 mse=1.025356 acc=0.75 margin=0.005613 grad=0.174411 delta=7.051195 weight_rms=0.2
  epoch=8900 mse=1.023179 acc=0.75 margin=0.008616 grad=0.191602 delta=6.937853 weight_rms=0.2
  epoch=9000 mse=1.025027 acc=0.75 margin=0.004324 grad=0.144336 delta=7.09407 weight_rms=0.2
  epoch=9100 mse=1.02466 acc=0.75 margin=0.006761 grad=0.179072 delta=7.10302 weight_rms=0.2
  epoch=9200 mse=1.025488 acc=0.75 margin=0.004575 grad=0.166861 delta=7.18234 weight_rms=0.2
  epoch=9300 mse=1.027323 acc=0.75 margin=0.003291 grad=0.136669 delta=7.274625 weight_rms=0.2
  epoch=9400 mse=1.027731 acc=0.75 margin=0.006046 grad=0.117707 delta=7.225654 weight_rms=0.2
  epoch=9500 mse=1.029669 acc=0.75 margin=0.003686 grad=0.133964 delta=7.22803 weight_rms=0.2
  epoch=9600 mse=1.032423 acc=0.5 margin=0.000501 grad=0.135551 delta=7.15508 weight_rms=0.2
  epoch=9700 mse=1.034685 acc=0.5 margin=0.003102 grad=0.117213 delta=7.179297 weight_rms=0.2
  epoch=9800 mse=1.036666 acc=0.5 margin=0.003974 grad=0.138913 delta=7.294607 weight_rms=0.2
  epoch=9900 mse=1.043601 acc=0.5 margin=0.006822 grad=0.131189 delta=7.320737 weight_rms=0.2
  epoch=10000 mse=1.045016 acc=0.5 margin=0.007215 grad=0.166072 delta=7.33533 weight_rms=0.2
  before: mse=1.006878 acc=0.75 best: epoch=300 mse=1.00215 acc=0.75 after: mse=1.00215 spin_mse=0.324741 score_mse=1.00215 acc=0.75 margin=0.041671
    case=(false, false) truth=false score=-0.286657 target=-1.0 out=[-0.0338, 0.4122, -0.0867, 0.66]
    case=(false, true) truth=true score=0.041671 target=1.0 out=[0.3201, -0.3876, 0.2483, -0.3316]
    case=(true, false) truth=true score=-0.434478 target=1.0 out=[0.0439, -0.615, 0.2804, 0.5885]
    case=(true, true) truth=false score=-0.276383 target=-1.0 out=[-0.0567, 0.0817, 0.4985, 0.0543]
Top configs:
#1 hidden=(16,) out=4 target=readout_hterm readout_target=1.0 lp=0.0 output_code=orthogonal dw=0.0 bias=0.1 skip=0.0 weight_norm=0.2 lr=0.01 beta=0.1 relax=100 dynamics=block block=8 adjusted=true stepsize=0.001 state=continuous weight_seed=2 bias_seed=11 before_mse=1.006878 before_acc=0.75 best_epoch=300 best_mse=1.00215 best_acc=0.75 after_mse=1.00215 after_spin_mse=0.324741 after_score_mse=1.00215 after_acc=0.75 margin=0.041671
