column,graph_kind,mean_abs_response,mean_response,nn,repeat,source_case,sweep,target_case
1,learned,0.12484544486554297,-0.08277337828903439,1,1,1,1,4
2,learned,0.0613486316004547,0.00995792454938177,1,1,1,1,4
3,learned,0.10329503033322479,-0.021882839028003954,1,1,1,1,4
4,learned,0.06341849267675545,-0.024562526777147632,1,1,1,1,4
5,learned,0.07827765454038599,0.007038386640649021,1,1,1,1,4
6,learned,0.035907191360185414,-0.013123905931553614,1,1,1,1,4
7,learned,0.048114562014405796,-0.03937418254542209,1,1,1,1,4
8,learned,0.12166025294227956,-0.030612774018719424,1,1,1,1,4
1,learned,0.0,0.0,1,1,2,0,1
2,learned,0.0,0.0,1,1,2,0,1
3,learned,0.0,0.0,1,1,2,0,1
4,learned,0.0,0.0,1,1,2,0,1
5,learned,0.0,0.0,1,1,2,0,1
6,learned,0.0,0.0,1,1,2,0,1
7,learned,0.0,0.0,1,1,2,0,1
8,learned,0.0,0.0,1,1,2,0,1
1,learned,0.06371868022734109,-0.04775396121540965,1,1,2,1,1
2,learned,0.09234132718842897,-0.05515432700710791,1,1,2,1,1
3,learned,0.08138413432125857,0.037918804125644856,1,1,2,1,1
4,learned,0.0905241104572931,0.08057933568369513,1,1,2,1,1
5,learned,0.08666191904296333,0.006917976728579404,1,1,2,1,1
6,learned,0.0603380028582231,-0.016203127563219587,1,1,2,1,1
7,learned,0.061114182110166365,0.02217169926560197,1,1,2,1,1
8,learned,0.09455045463068557,-0.04865874005403598,1,1,2,1,1
1,learned,0.0,0.0,1,1,2,0,3
2,learned,0.0,0.0,1,1,2,0,3
3,learned,0.0,0.0,1,1,2,0,3
4,learned,0.0,0.0,1,1,2,0,3
5,learned,0.0,0.0,1,1,2,0,3
6,learned,0.0,0.0,1,1,2,0,3
7,learned,0.0,0.0,1,1,2,0,3
8,learned,0.0,0.0,1,1,2,0,3
1,learned,0.1094880446383208,0.019366252465418336,1,1,2,1,3
2,learned,0.07598130306730856,0.014708096885287236,1,1,2,1,3
3,learned,0.08554488639384089,-0.033612573145592003,1,1,2,1,3
4,learned,0.08482745884034865,-0.0028946406985279755,1,1,2,1,3
5,learned,0.034733835554072015,-0.0205422509963199,1,1,2,1,3
6,learned,0.05822565090448998,0.04536156069357087,1,1,2,1,3
7,learned,0.08206350533183218,-0.06417244403198785,1,1,2,1,3
8,learned,0.0871246352160276,0.006939498853064257,1,1,2,1,3
1,learned,0.0,0.0,1,1,2,0,4
2,learned,0.0,0.0,1,1,2,0,4
3,learned,0.0,0.0,1,1,2,0,4
4,learned,0.0,0.0,1,1,2,0,4
5,learned,0.0,0.0,1,1,2,0,4
6,learned,0.0,0.0,1,1,2,0,4
7,learned,0.0,0.0,1,1,2,0,4
8,learned,0.0,0.0,1,1,2,0,4
1,learned,0.08487420879471361,0.0037423381736883463,1,1,2,1,4
2,learned,0.0875405206819586,0.0334428484924129,1,1,2,1,4
3,learned,0.10070316132326697,0.04103551598711634,1,1,2,1,4
4,learned,0.08732490698788246,-0.02081583175772978,1,1,2,1,4
5,learned,0.08404707397319726,-0.029780009859920388,1,1,2,1,4
6,learned,0.05038053782781637,0.023905875727937207,1,1,2,1,4
7,learned,0.09426038712062976,0.02940609023176231,1,1,2,1,4
8,learned,0.11188570650370211,-0.052103434599193844,1,1,2,1,4
1,learned,0.0,0.0,1,1,3,0,1
2,learned,0.0,0.0,1,1,3,0,1
3,learned,0.0,0.0,1,1,3,0,1
4,learned,0.0,0.0,1,1,3,0,1
5,learned,0.0,0.0,1,1,3,0,1
6,learned,0.0,0.0,1,1,3,0,1
7,learned,0.0,0.0,1,1,3,0,1
8,learned,0.0,0.0,1,1,3,0,1
1,learned,0.05712592980349566,0.011358314328056666,1,1,3,1,1
2,learned,0.10509691560747358,0.01984507327147946,1,1,3,1,1
3,learned,0.10914010724901971,-0.017128434676785098,1,1,3,1,1
4,learned,0.07629543366760218,-0.022037771106431344,1,1,3,1,1
5,learned,0.06441207329814264,-0.0208842443493918,1,1,3,1,1
6,learned,0.07798065837984974,0.013482864963361034,1,1,3,1,1
7,learned,0.08885131336067932,0.043648437724402724,1,1,3,1,1
8,learned,0.07708598140841101,0.03167655127358279,1,1,3,1,1
1,learned,0.0,0.0,1,1,3,0,2
2,learned,0.0,0.0,1,1,3,0,2
3,learned,0.0,0.0,1,1,3,0,2
4,learned,0.0,0.0,1,1,3,0,2
5,learned,0.0,0.0,1,1,3,0,2
6,learned,0.0,0.0,1,1,3,0,2
7,learned,0.0,0.0,1,1,3,0,2
8,learned,0.0,0.0,1,1,3,0,2
1,learned,0.08445565815136319,-0.054113333749932796,1,1,3,1,2
2,learned,0.06129828695414376,-0.040271220539999625,1,1,3,1,2
3,learned,0.053711236906976254,-0.02044493976092847,1,1,3,1,2
4,learned,0.06542603730907658,-0.030467275199630703,1,1,3,1,2
5,learned,0.08572583044006381,0.07604202686515706,1,1,3,1,2
6,learned,0.07034357971943464,0.0028754905957754824,1,1,3,1,2
7,learned,0.06327773507467023,0.03780234481175396,1,1,3,1,2
8,learned,0.07906652114684398,0.03876729716750933,1,1,3,1,2
1,learned,0.0,0.0,1,1,3,0,4
2,learned,0.0,0.0,1,1,3,0,4
3,learned,0.0,0.0,1,1,3,0,4
4,learned,0.0,0.0,1,1,3,0,4
5,learned,0.0,0.0,1,1,3,0,4
6,learned,0.0,0.0,1,1,3,0,4
7,learned,0.0,0.0,1,1,3,0,4
8,learned,0.0,0.0,1,1,3,0,4
1,learned,0.10215638936144031,-0.01292843048089724,1,1,3,1,4
2,learned,0.07276721674492567,-0.003130092877387726,1,1,3,1,4
3,learned,0.08117406976093369,-0.020848897594612212,1,1,3,1,4
4,learned,0.08355809333917996,0.031496568501312466,1,1,3,1,4
5,learned,0.09788305417172408,-0.04904748865233985,1,1,3,1,4
6,learned,0.06812145883366869,-0.026464835153861638,1,1,3,1,4
7,learned,0.1545383476095506,-0.08385807950967347,1,1,3,1,4
8,learned,0.11956756581816638,-0.025795981319722,1,1,3,1,4
1,learned,0.0,0.0,1,1,4,0,1
2,learned,0.0,0.0,1,1,4,0,1
3,learned,0.0,0.0,1,1,4,0,1
4,learned,0.0,0.0,1,1,4,0,1
5,learned,0.0,0.0,1,1,4,0,1
6,learned,0.0,0.0,1,1,4,0,1
7,learned,0.0,0.0,1,1,4,0,1
8,learned,0.0,0.0,1,1,4,0,1
1,learned,0.04852551920044569,0.033457012144339215,1,1,4,1,1
2,learned,0.07715187539692196,0.01016086460555947,1,1,4,1,1
3,learned,0.06957563049228463,0.002075873946543537,1,1,4,1,1
4,learned,0.06479601321791938,0.0452204821300293,1,1,4,1,1
5,learned,0.08125667757414291,-0.0330128250442092,1,1,4,1,1
6,learned,0.05642182904796709,0.018965397478594277,1,1,4,1,1
7,learned,0.09557980672251107,-0.017419169981759595,1,1,4,1,1
8,learned,0.1306193396681871,-0.017250413257476293,1,1,4,1,1
1,learned,0.0,0.0,1,1,4,0,2
2,learned,0.0,0.0,1,1,4,0,2
3,learned,0.0,0.0,1,1,4,0,2
4,learned,0.0,0.0,1,1,4,0,2
5,learned,0.0,0.0,1,1,4,0,2
6,learned,0.0,0.0,1,1,4,0,2
7,learned,0.0,0.0,1,1,4,0,2
8,learned,0.0,0.0,1,1,4,0,2
1,learned,0.07344455889985503,0.010868260038228002,1,1,4,1,2
2,learned,0.07681539302288047,-0.03962389942727525,1,1,4,1,2
3,learned,0.06674872105153351,0.0018101821280755853,1,1,4,1,2
4,learned,0.10465150833396218,0.07621215353589904,1,1,4,1,2
5,learned,0.05915739518283151,0.013214475877282535,1,1,4,1,2
6,learned,0.0540675139421711,0.004562428858293095,1,1,4,1,2
7,learned,0.07917495653258552,0.008013288368554028,1,1,4,1,2
8,learned,0.07623207488960528,-0.006884758792888877,1,1,4,1,2
1,learned,0.0,0.0,1,1,4,0,3
2,learned,0.0,0.0,1,1,4,0,3
3,learned,0.0,0.0,1,1,4,0,3
4,learned,0.0,0.0,1,1,4,0,3
5,learned,0.0,0.0,1,1,4,0,3
6,learned,0.0,0.0,1,1,4,0,3
7,learned,0.0,0.0,1,1,4,0,3
8,learned,0.0,0.0,1,1,4,0,3
1,learned,0.07504059752828882,-0.031458147796084,1,1,4,1,3
2,learned,0.06183462656944237,-0.03869967804083764,1,1,4,1,3
3,learned,0.09614178491545979,-0.08743115794262413,1,1,4,1,3
4,learned,0.0641564840810098,-0.027685210096188566,1,1,4,1,3
5,learned,0.07507082549594446,-0.07442061183467244,1,1,4,1,3
6,learned,0.07845399037066828,-0.04883408294525213,1,1,4,1,3
7,learned,0.08655634150795329,0.03453680809398971,1,1,4,1,3
8,learned,0.08732467541460419,-0.03090321481336183,1,1,4,1,3
