config,phase,step,q,residual_rms,residual_max,meanabs,frac_09,step_delta,energy,free_score,score,target,score_error,stepsize
eta=0.02,plus,2500,0.989439798006,0.0106773141522,0.0269854181731,0.991616303674,1,0.00750200057921,-10.8858553186,-0.000429959409082,0.00215951548518,0,0.998461507578,0.02
eta=0.02,plus,2750,0.989368402234,0.0107498663081,0.0259769788136,0.991587598224,1,0.00758298726333,-10.878800166,-0.000429959409082,-0.00188847091358,0,0.995358035659,0.02
eta=0.02,plus,3000,0.989288461324,0.0108289786381,0.0233546531081,0.991659864942,1,0.00794022481322,-10.8842773672,-0.000429959409082,-0.00147246061055,0,0.998079917473,0.02
eta=0.05,minus,0,0.994285487306,0.00574789457663,0.0150218178952,0.99559981551,1,0,-10.9669724862,-0.000429959409082,-0.000429959409082,0,0.998509171536,0.05
eta=0.05,minus,250,0.97352562992,0.027241753605,0.0643105504579,0.979570583717,1,0.0242692331638,-10.60452878,-0.000429959409082,0.00341710431318,0,1.00961065076,0.05
eta=0.05,minus,500,0.969490780462,0.0314813785023,0.0811584804785,0.976358353072,1,0.0188343565541,-10.5010034071,-0.000429959409082,-0.00401638034677,0,1.00093500108,0.05
eta=0.05,minus,750,0.973686357495,0.0270677805617,0.0645572189305,0.980641077501,1,0.0198590972964,-10.6208319689,-0.000429959409082,0.0240688257781,0,1.00513276456,0.05
eta=0.05,minus,1000,0.972351309143,0.0284406436867,0.07558879745,0.979412242599,1,0.0189910213306,-10.5823330149,-0.000429959409082,0.0129861631647,0,0.998184265988,0.05
eta=0.05,minus,1250,0.973946663797,0.026763900155,0.0729835706082,0.980842859574,1,0.0169349915773,-10.628971886,-0.000429959409082,0.0140468104265,0,0.997703882297,0.05
eta=0.05,minus,1500,0.972669167558,0.0281106375869,0.0712335457598,0.979867580407,1,0.0206430481951,-10.5874135078,-0.000429959409082,0.00196012690008,0,1.00660558993,0.05
eta=0.05,minus,1750,0.973944885635,0.0267621298353,0.0623982700918,0.979417064188,1,0.0183778587156,-10.6149034387,-0.000429959409082,-0.0128488632243,0,0.991503034644,0.05
