epoch,mse,output_mse,spin_score_mse,accuracy,all_correct,min_margin,mean_margin,scores,spin_scores,predictions,outputs
250,0.083984375,0.083984375,0.083984375,1.0,true,0.625,0.71875,-0.75|0.8125|0.6875|-0.625,-0.75|0.8125|0.6875|-0.625,-1.0|1.0|1.0|-1.0,-0.75|-0.75|-0.75|-0.75|0.8125|0.8125|0.8125|0.8125|0.6875|0.6875|0.6875|0.6875|-0.625|-0.625|-0.625|-0.625
275,0.0927734375,0.0927734375,0.0927734375,1.0,true,0.625,0.703125,-0.6875|0.625|0.6875|-0.8125,-0.6875|0.625|0.6875|-0.8125,-1.0|1.0|1.0|-1.0,-0.6875|-0.6875|-0.6875|-0.6875|0.625|0.625|0.625|0.625|0.6875|0.6875|0.6875|0.6875|-0.8125|-0.8125|-0.8125|-0.8125
300,0.126953125,0.126953125,0.126953125,1.0,true,0.5625,0.65625,-0.625|0.5625|0.8125|-0.625,-0.625|0.5625|0.8125|-0.625,-1.0|1.0|1.0|-1.0,-0.625|-0.625|-0.625|-0.625|0.5625|0.5625|0.5625|0.5625|0.8125|0.8125|0.8125|0.8125|-0.625|-0.625|-0.625|-0.625
325,0.1982421875,0.1982421875,0.1982421875,1.0,true,0.4375,0.578125,-0.4375|0.5625|0.8125|-0.5,-0.4375|0.5625|0.8125|-0.5,-1.0|1.0|1.0|-1.0,-0.4375|-0.4375|-0.4375|-0.4375|0.5625|0.5625|0.5625|0.5625|0.8125|0.8125|0.8125|0.8125|-0.5|-0.5|-0.5|-0.5
350,0.146484375,0.146484375,0.146484375,1.0,true,0.5625,0.625,-0.625|0.75|0.5625|-0.5625,-0.625|0.75|0.5625|-0.5625,-1.0|1.0|1.0|-1.0,-0.625|-0.625|-0.625|-0.625|0.75|0.75|0.75|0.75|0.5625|0.5625|0.5625|0.5625|-0.5625|-0.5625|-0.5625|-0.5625
375,0.078125,0.078125,0.078125,1.0,true,0.625,0.75,-0.625|0.875|0.875|-0.625,-0.625|0.875|0.875|-0.625,-1.0|1.0|1.0|-1.0,-0.625|-0.625|-0.625|-0.625|0.875|0.875|0.875|0.875|0.875|0.875|0.875|0.875|-0.625|-0.625|-0.625|-0.625
400,0.123046875,0.123046875,0.123046875,1.0,true,0.5625,0.65625,-0.6875|0.625|0.75|-0.5625,-0.6875|0.625|0.75|-0.5625,-1.0|1.0|1.0|-1.0,-0.6875|-0.6875|-0.6875|-0.6875|0.625|0.625|0.625|0.625|0.75|0.75|0.75|0.75|-0.5625|-0.5625|-0.5625|-0.5625
425,0.099609375,0.099609375,0.099609375,1.0,true,0.5,0.71875,-0.8125|0.5|0.875|-0.6875,-0.8125|0.5|0.875|-0.6875,-1.0|1.0|1.0|-1.0,-0.8125|-0.8125|-0.8125|-0.8125|0.5|0.5|0.5|0.5|0.875|0.875|0.875|0.875|-0.6875|-0.6875|-0.6875|-0.6875
450,0.1376953125,0.1376953125,0.1376953125,1.0,true,0.5,0.640625,-0.625|0.75|0.6875|-0.5,-0.625|0.75|0.6875|-0.5,-1.0|1.0|1.0|-1.0,-0.625|-0.625|-0.625|-0.625|0.75|0.75|0.75|0.75|0.6875|0.6875|0.6875|0.6875|-0.5|-0.5|-0.5|-0.5
475,0.158203125,0.158203125,0.158203125,1.0,true,0.5,0.625,-0.8125|0.6875|0.5|-0.5,-0.8125|0.6875|0.5|-0.5,-1.0|1.0|1.0|-1.0,-0.8125|-0.8125|-0.8125|-0.8125|0.6875|0.6875|0.6875|0.6875|0.5|0.5|0.5|0.5|-0.5|-0.5|-0.5|-0.5
500,0.1162109375,0.1162109375,0.1162109375,1.0,true,0.5625,0.671875,-0.8125|0.5625|0.625|-0.6875,-0.8125|0.5625|0.625|-0.6875,-1.0|1.0|1.0|-1.0,-0.8125|-0.8125|-0.8125|-0.8125|0.5625|0.5625|0.5625|0.5625|0.625|0.625|0.625|0.625|-0.6875|-0.6875|-0.6875|-0.6875
