timestamp,config_id,hidden,epoch,seconds,relaxation,sweeps,minit,digits,target_scale,target_off,target_on,input_low,input_high,beta,lr,train_accuracy,train_mse,validation_accuracy,validation_mse
2026-05-19T05:07:00,1,512,20,2.8107557,1044,2.0,2,0-1,0.2,-0.2,0.2,-1.0,1.0,0.1,0.02,0.529296875,3.4748363,0.494140625,3.4469655
2026-05-19T05:07:04,1,512,21,2.8355785,1044,2.0,2,0-1,0.2,-0.2,0.2,-1.0,1.0,0.1,0.02,0.48046875,3.5195613,0.51171875,3.4560227
2026-05-19T05:07:08,1,512,22,2.7276219,1044,2.0,2,0-1,0.2,-0.2,0.2,-1.0,1.0,0.1,0.02,0.5234375,3.4679005,0.470703125,3.464589
2026-05-19T05:07:11,1,512,23,2.8337731,1044,2.0,2,0-1,0.2,-0.2,0.2,-1.0,1.0,0.1,0.02,0.5,3.542977,0.51953125,3.5294793
2026-05-19T05:07:15,1,512,24,2.8024917,1044,2.0,2,0-1,0.2,-0.2,0.2,-1.0,1.0,0.1,0.02,0.50390625,3.4592104,0.48046875,3.4760284
2026-05-19T05:07:18,1,512,25,2.7106677,1044,2.0,2,0-1,0.2,-0.2,0.2,-1.0,1.0,0.1,0.02,0.5078125,3.540049,0.51171875,3.5140226
2026-05-19T05:07:22,1,512,26,2.8446906,1044,2.0,2,0-1,0.2,-0.2,0.2,-1.0,1.0,0.1,0.02,0.482421875,3.464124,0.533203125,3.5160003
2026-05-19T05:07:26,1,512,27,2.7025988,1044,2.0,2,0-1,0.2,-0.2,0.2,-1.0,1.0,0.1,0.02,0.46875,3.5046864,0.46875,3.5349314
2026-05-19T05:07:29,1,512,28,2.6691673,1044,2.0,2,0-1,0.2,-0.2,0.2,-1.0,1.0,0.1,0.02,0.525390625,3.5462353,0.490234375,3.5307648
2026-05-19T05:07:33,1,512,29,2.6704374,1044,2.0,2,0-1,0.2,-0.2,0.2,-1.0,1.0,0.1,0.02,0.515625,3.4799514,0.47265625,3.5195098
2026-05-19T05:07:36,1,512,30,2.7601723,1044,2.0,2,0-1,0.2,-0.2,0.2,-1.0,1.0,0.1,0.02,0.4921875,3.5160837,0.494140625,3.3794181
2026-05-19T05:07:40,1,512,31,2.7421169,1044,2.0,2,0-1,0.2,-0.2,0.2,-1.0,1.0,0.1,0.02,0.5234375,3.5023236,0.5234375,3.464182
2026-05-19T05:07:43,1,512,32,2.7168802,1044,2.0,2,0-1,0.2,-0.2,0.2,-1.0,1.0,0.1,0.02,0.529296875,3.5462599,0.490234375,3.4835355
2026-05-19T05:07:47,1,512,33,2.7533123,1044,2.0,2,0-1,0.2,-0.2,0.2,-1.0,1.0,0.1,0.02,0.482421875,3.5023482,0.482421875,3.4553256
2026-05-19T05:07:51,1,512,34,2.6876911,1044,2.0,2,0-1,0.2,-0.2,0.2,-1.0,1.0,0.1,0.02,0.53515625,3.5086687,0.474609375,3.504405
2026-05-19T05:07:54,1,512,35,2.7816882,1044,2.0,2,0-1,0.2,-0.2,0.2,-1.0,1.0,0.1,0.02,0.474609375,3.5277793,0.53125,3.4710097
2026-05-19T05:07:58,1,512,36,2.7154769,1044,2.0,2,0-1,0.2,-0.2,0.2,-1.0,1.0,0.1,0.02,0.498046875,3.495743,0.517578125,3.401859
2026-05-19T05:08:01,1,512,37,2.6934971,1044,2.0,2,0-1,0.2,-0.2,0.2,-1.0,1.0,0.1,0.02,0.509765625,3.4232235,0.498046875,3.477624
2026-05-19T05:08:05,1,512,38,2.706062,1044,2.0,2,0-1,0.2,-0.2,0.2,-1.0,1.0,0.1,0.02,0.509765625,3.3961897,0.509765625,3.493252
2026-05-19T05:08:08,1,512,39,2.73502,1044,2.0,2,0-1,0.2,-0.2,0.2,-1.0,1.0,0.1,0.02,0.486328125,3.4442544,0.525390625,3.3825972
2026-05-19T05:08:12,1,512,40,2.7510384,1044,2.0,2,0-1,0.2,-0.2,0.2,-1.0,1.0,0.1,0.02,0.52734375,3.435141,0.49609375,3.4663446
2026-05-19T05:08:16,1,512,41,2.6919026,1044,2.0,2,0-1,0.2,-0.2,0.2,-1.0,1.0,0.1,0.02,0.50390625,3.555876,0.447265625,3.4463995
2026-05-19T05:08:19,1,512,42,2.8228092,1044,2.0,2,0-1,0.2,-0.2,0.2,-1.0,1.0,0.1,0.02,0.52734375,3.4452949,0.5,3.503947
2026-05-19T05:08:23,1,512,43,2.7187063,1044,2.0,2,0-1,0.2,-0.2,0.2,-1.0,1.0,0.1,0.02,0.48828125,3.4967318,0.490234375,3.467487
2026-05-19T05:08:26,1,512,44,2.7138879,1044,2.0,2,0-1,0.2,-0.2,0.2,-1.0,1.0,0.1,0.02,0.470703125,3.4579384,0.52734375,3.4834754
2026-05-19T05:08:30,1,512,45,2.7645229,1044,2.0,2,0-1,0.2,-0.2,0.2,-1.0,1.0,0.1,0.02,0.501953125,3.5441353,0.52734375,3.5726612
2026-05-19T05:08:34,1,512,46,2.774073,1044,2.0,2,0-1,0.2,-0.2,0.2,-1.0,1.0,0.1,0.02,0.53515625,3.5435128,0.513671875,3.4893916
2026-05-19T05:08:37,1,512,47,2.735351,1044,2.0,2,0-1,0.2,-0.2,0.2,-1.0,1.0,0.1,0.02,0.498046875,3.5130315,0.509765625,3.5051758
2026-05-19T05:08:41,1,512,48,2.7997328,1044,2.0,2,0-1,0.2,-0.2,0.2,-1.0,1.0,0.1,0.02,0.48828125,3.506518,0.5078125,3.5307055
2026-05-19T05:08:44,1,512,49,2.7896041,1044,2.0,2,0-1,0.2,-0.2,0.2,-1.0,1.0,0.1,0.02,0.498046875,3.5169156,0.5078125,3.514253
2026-05-19T05:08:48,1,512,50,2.667059,1044,2.0,2,0-1,0.2,-0.2,0.2,-1.0,1.0,0.1,0.02,0.48046875,3.526994,0.470703125,3.4970694
