column,graph_kind,mean_abs_response,mean_response,nn,repeat,source_case,sweep,target_case
4,initial,0.2668407373510661,-0.042875081650572223,1,1,1,24,2
5,initial,0.3349116827491484,-0.24353836581861568,1,1,1,24,2
6,initial,0.4390352604126522,-0.22242109405714183,1,1,1,24,2
7,initial,0.25843609952106994,-0.17550598669929984,1,1,1,24,2
8,initial,0.43630452442581474,0.10778201754125827,1,1,1,24,2
1,initial,0.520574903956712,-0.22234977422629063,1,1,1,25,2
2,initial,0.2674129776500931,0.013164112893413925,1,1,1,25,2
3,initial,0.1877278764135058,-0.0812400850124708,1,1,1,25,2
4,initial,0.23636282003200865,-0.006676000327660608,1,1,1,25,2
5,initial,0.29596786453930496,-0.16760227208964334,1,1,1,25,2
6,initial,0.4956792254897863,-0.28846345960875275,1,1,1,25,2
7,initial,0.24068672138528419,-0.18242520672128976,1,1,1,25,2
8,initial,0.40954461996113234,0.094036451651816,1,1,1,25,2
1,initial,0.0,0.0,1,2,1,0,2
2,initial,0.0,0.0,1,2,1,0,2
3,initial,0.0,0.0,1,2,1,0,2
4,initial,0.0,0.0,1,2,1,0,2
5,initial,0.0,0.0,1,2,1,0,2
6,initial,0.0,0.0,1,2,1,0,2
7,initial,0.0,0.0,1,2,1,0,2
8,initial,0.0,0.0,1,2,1,0,2
1,initial,0.054898155978600136,0.03861891108122088,1,2,1,1,2
2,initial,0.09406706768553857,0.0040705063443671925,1,2,1,1,2
3,initial,0.09183255095914551,-0.05489880845451579,1,2,1,1,2
4,initial,0.09589501123700785,0.006117343053849519,1,2,1,1,2
5,initial,0.05299692579519908,-0.02669671505567734,1,2,1,1,2
6,initial,0.04812064843076515,0.02498405990382575,1,2,1,1,2
7,initial,0.07784553005556877,0.01936053034969265,1,2,1,1,2
8,initial,0.07140674653181772,0.0556900736118776,1,2,1,1,2
1,initial,0.11870297976440923,0.003187557986080211,1,2,1,2,2
2,initial,0.10095296497333545,0.05931633808527616,1,2,1,2,2
3,initial,0.11708481006481959,-0.06088972351423809,1,2,1,2,2
4,initial,0.10849490534560584,-0.03300370976212221,1,2,1,2,2
5,initial,0.05871786312796994,-0.035223760857756976,1,2,1,2,2
6,initial,0.06371987172591868,0.0017965468372852025,1,2,1,2,2
7,initial,0.1256066629844687,0.031461821245678555,1,2,1,2,2
8,initial,0.10717789612773736,0.04576095047865179,1,2,1,2,2
1,initial,0.1209350247396731,-0.04137629539651952,1,2,1,3,2
2,initial,0.12453813028765454,0.047011078223397965,1,2,1,3,2
3,initial,0.19352828953844464,-0.10632558171730364,1,2,1,3,2
4,initial,0.1389236709560977,-0.004494766374927302,1,2,1,3,2
5,initial,0.11793085543781258,-0.005222943374293507,1,2,1,3,2
6,initial,0.07463186183725827,0.016661232982212993,1,2,1,3,2
7,initial,0.12103094813957388,0.003442614222559773,1,2,1,3,2
8,initial,0.19969072158768275,0.0794690153025509,1,2,1,3,2
1,initial,0.12185071936876246,-0.040425474296082536,1,2,1,4,2
2,initial,0.189759406800998,0.08245387934027797,1,2,1,4,2
3,initial,0.18610863868812125,-0.12321055343393503,1,2,1,4,2
4,initial,0.13715260243770042,0.057953174768395545,1,2,1,4,2
